SENATE 2018 IN MINNESOTA
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Senate,Minnesota,20181106,"16,202",AITKIN,"3,808","Newberger, James",Challenger,"4,118","Klobuchar, Amy",Incumbent,LMN,195,"Schuller, Dennis",Challenger,66,310,D,2.38,48.04,51.96,,,"Overby, Paula (Green) 66; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"330,844",ANOKA,"65,707","Newberger, James",Challenger,"87,756","Klobuchar, Amy",Incumbent,LMN,"4,778","Schuller, Dennis",Challenger,"1,387","22,049",D,2.99,42.82,57.18,,,"Overby, Paula (Green) 1,307; Scattered Write-Ins (Write-in) 80"
Senate,Minnesota,20181106,"32,504",BECKER,"7,520","Newberger, James",Challenger,"6,699","Klobuchar, Amy",Incumbent,LMN,429,"Schuller, Dennis",Challenger,122,821,R,2.90,52.89,47.11,,,"Overby, Paula (Green) 118; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"44,442",BELTRAMI,"7,562","Newberger, James",Challenger,"9,711","Klobuchar, Amy",Incumbent,LMN,577,"Schuller, Dennis",Challenger,159,"2,149",D,3.20,43.78,56.22,,,"Overby, Paula (Green) 155; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"38,451",BENTON,"8,290","Newberger, James",Challenger,"7,131","Klobuchar, Amy",Incumbent,LMN,501,"Schuller, Dennis",Challenger,166,"1,159",R,3.11,53.76,46.24,,,"Overby, Paula (Green) 164; Scattered Write-Ins (Write-in) 2"
Senate,Minnesota,20181106,"5,269",BIG STONE,"1,127","Newberger, James",Challenger,"1,368","Klobuchar, Amy",Incumbent,LMN,77,"Schuller, Dennis",Challenger,22,241,D,2.97,45.17,54.83,,,"Overby, Paula (Green) 21; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"64,013",BLUE EARTH,"9,984","Newberger, James",Challenger,"16,776","Klobuchar, Amy",Incumbent,LMN,"1,059","Schuller, Dennis",Challenger,319,"6,792",D,3.76,37.31,62.69,,,"Overby, Paula (Green) 306; Scattered Write-Ins (Write-in) 13"
Senate,Minnesota,20181106,"25,893",BROWN,"5,816","Newberger, James",Challenger,"5,614","Klobuchar, Amy",Incumbent,LMN,293,"Schuller, Dennis",Challenger,108,202,R,2.48,50.88,49.12,,,"Overby, Paula (Green) 102; Scattered Write-Ins (Write-in) 6"
Senate,Minnesota,20181106,"35,386",CARLTON,"5,682","Newberger, James",Challenger,"10,200","Klobuchar, Amy",Incumbent,LMN,397,"Schuller, Dennis",Challenger,126,"4,518",D,2.42,35.78,64.22,,,"Overby, Paula (Green) 122; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"91,042",CARVER,"22,540","Newberger, James",Challenger,"27,168","Klobuchar, Amy",Incumbent,LMN,990,"Schuller, Dennis",Challenger,356,"4,628",D,1.94,45.34,54.66,,,"Overby, Paula (Green) 346; Scattered Write-Ins (Write-in) 10"
Senate,Minnesota,20181106,"28,567",CASS,"7,332","Newberger, James",Challenger,"6,243","Klobuchar, Amy",Incumbent,LMN,343,"Schuller, Dennis",Challenger,106,"1,089",R,2.45,54.01,45.99,,,"Overby, Paula (Green) 105; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"12,441",CHIPPEWA,"2,422","Newberger, James",Challenger,"2,925","Klobuchar, Amy",Incumbent,LMN,156,"Schuller, Dennis",Challenger,29,503,D,2.82,45.30,54.70,,,"Overby, Paula (Green) 28; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"53,887",CHISAGO,"12,663","Newberger, James",Challenger,"12,138","Klobuchar, Amy",Incumbent,LMN,834,"Schuller, Dennis",Challenger,204,525,R,3.23,51.06,48.94,,,"Overby, Paula (Green) 193; Scattered Write-Ins (Write-in) 11"
Senate,Minnesota,20181106,"58,999",CLAY,"8,480","Newberger, James",Challenger,"14,950","Klobuchar, Amy",Incumbent,LMN,748,"Schuller, Dennis",Challenger,225,"6,470",D,3.07,36.19,63.81,,,"Overby, Paula (Green) 219; Scattered Write-Ins (Write-in) 6"
Senate,Minnesota,20181106,"8,695",CLEARWATER,"2,080","Newberger, James",Challenger,"1,302","Klobuchar, Amy",Incumbent,LMN,75,"Schuller, Dennis",Challenger,30,778,R,2.15,61.50,38.50,,,"Overby, Paula (Green) 30; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"5,176",COOK,911,"Newberger, James",Challenger,"2,178","Klobuchar, Amy",Incumbent,LMN,78,"Schuller, Dennis",Challenger,48,"1,267",D,2.43,29.49,70.51,,,"Overby, Paula (Green) 45; Scattered Write-Ins (Write-in) 3"
Senate,Minnesota,20181106,"11,687",COTTONWOOD,"2,488","Newberger, James",Challenger,"2,413","Klobuchar, Amy",Incumbent,LMN,102,"Schuller, Dennis",Challenger,44,75,R,2.02,50.77,49.23,,,"Overby, Paula (Green) 43; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"62,500",CROW WING,"16,132","Newberger, James",Challenger,"14,206","Klobuchar, Amy",Incumbent,LMN,892,"Schuller, Dennis",Challenger,206,"1,926",R,2.84,53.17,46.83,,,"Overby, Paula (Green) 201; Scattered Write-Ins (Write-in) 5"
Senate,Minnesota,20181106,"398,552",DAKOTA,"73,462","Newberger, James",Challenger,"127,016","Klobuchar, Amy",Incumbent,LMN,"4,878","Schuller, Dennis",Challenger,"1,968","53,554",D,2.35,36.64,63.36,,,"Overby, Paula (Green) 1,894; Scattered Write-Ins (Write-in) 74"
Senate,Minnesota,20181106,"20,087",DODGE,"4,527","Newberger, James",Challenger,"4,278","Klobuchar, Amy",Incumbent,LMN,240,"Schuller, Dennis",Challenger,88,249,R,2.63,51.41,48.59,,,"Overby, Paula (Green) 84; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"36,009",DOUGLAS,"9,113","Newberger, James",Challenger,"8,504","Klobuchar, Amy",Incumbent,LMN,366,"Schuller, Dennis",Challenger,101,609,R,2.02,51.73,48.27,,,"Overby, Paula (Green) 98; Scattered Write-Ins (Write-in) 3"
Senate,Minnesota,20181106,"14,553",FARIBAULT,"3,103","Newberger, James",Challenger,"3,031","Klobuchar, Amy",Incumbent,LMN,201,"Schuller, Dennis",Challenger,42,72,R,3.15,50.59,49.41,,,"Overby, Paula (Green) 41; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"20,866",FILLMORE,"4,263","Newberger, James",Challenger,"5,128","Klobuchar, Amy",Incumbent,LMN,249,"Schuller, Dennis",Challenger,92,865,D,2.56,45.39,54.61,,,"Overby, Paula (Green) 87; Scattered Write-Ins (Write-in) 5"
Senate,Minnesota,20181106,"31,255",FREEBORN,"5,779","Newberger, James",Challenger,"7,675","Klobuchar, Amy",Incumbent,LMN,443,"Schuller, Dennis",Challenger,104,"1,896",D,3.16,42.95,57.05,,,"Overby, Paula (Green) 103; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"46,183",GOODHUE,"9,940","Newberger, James",Challenger,"12,379","Klobuchar, Amy",Incumbent,LMN,647,"Schuller, Dennis",Challenger,211,"2,439",D,2.79,44.54,55.46,,,"Overby, Paula (Green) 206; Scattered Write-Ins (Write-in) 5"
Senate,Minnesota,20181106,"6,018",GRANT,"1,402","Newberger, James",Challenger,"1,637","Klobuchar, Amy",Incumbent,LMN,79,"Schuller, Dennis",Challenger,22,235,D,2.52,46.13,53.87,,,"Overby, Paula (Green) 22; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"1,152,425",HENNEPIN,"149,297","Newberger, James",Challenger,"459,729","Klobuchar, Amy",Incumbent,LMN,"14,192","Schuller, Dennis",Challenger,"6,316","310,432",D,2.25,24.51,75.49,,,"Overby, Paula (Green) 6,034; Scattered Write-Ins (Write-in) 282"
Senate,Minnesota,20181106,"19,027",HOUSTON,"4,149","Newberger, James",Challenger,"4,425","Klobuchar, Amy",Incumbent,LMN,287,"Schuller, Dennis",Challenger,88,276,D,3.21,48.39,51.61,,,"Overby, Paula (Green) 86; Scattered Write-Ins (Write-in) 2"
Senate,Minnesota,20181106,"20,428",HUBBARD,"5,312","Newberger, James",Challenger,"4,494","Klobuchar, Amy",Incumbent,LMN,265,"Schuller, Dennis",Challenger,74,818,R,2.61,54.17,45.83,,,"Overby, Paula (Green) 73; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"37,816",ISANTI,"9,226","Newberger, James",Challenger,"7,440","Klobuchar, Amy",Incumbent,LMN,594,"Schuller, Dennis",Challenger,160,"1,786",R,3.41,55.36,44.64,,,"Overby, Paula (Green) 154; Scattered Write-Ins (Write-in) 6"
Senate,Minnesota,20181106,"45,058",ITASCA,"9,203","Newberger, James",Challenger,"11,585","Klobuchar, Amy",Incumbent,LMN,696,"Schuller, Dennis",Challenger,171,"2,382",D,3.21,44.27,55.73,,,"Overby, Paula (Green) 165; Scattered Write-Ins (Write-in) 6"
Senate,Minnesota,20181106,"10,266",JACKSON,"2,341","Newberger, James",Challenger,"2,174","Klobuchar, Amy",Incumbent,LMN,142,"Schuller, Dennis",Challenger,26,167,R,3.03,51.85,48.15,,,"Overby, Paula (Green) 26; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"16,239",KANABEC,"3,363","Newberger, James",Challenger,"3,138","Klobuchar, Amy",Incumbent,LMN,171,"Schuller, Dennis",Challenger,47,225,R,2.55,51.73,48.27,,,"Overby, Paula (Green) 47; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"42,239",KANDIYOHI,"8,596","Newberger, James",Challenger,"9,378","Klobuchar, Amy",Incumbent,LMN,555,"Schuller, Dennis",Challenger,140,782,D,2.97,47.82,52.18,,,"Overby, Paula (Green) 134; Scattered Write-Ins (Write-in) 6"
Senate,Minnesota,20181106,"4,552",KITTSON,943,"Newberger, James",Challenger,"1,325","Klobuchar, Amy",Incumbent,LMN,76,"Schuller, Dennis",Challenger,21,382,D,3.21,41.58,58.42,,,"Overby, Paula (Green) 21; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"13,311",KOOCHICHING,"2,238","Newberger, James",Challenger,"2,886","Klobuchar, Amy",Incumbent,LMN,102,"Schuller, Dennis",Challenger,30,648,D,1.94,43.68,56.32,,,"Overby, Paula (Green) 30; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"7,259",LAC QUI PARLE,"1,404","Newberger, James",Challenger,"1,866","Klobuchar, Amy",Incumbent,LMN,79,"Schuller, Dennis",Challenger,13,462,D,2.35,42.94,57.06,,,"Overby, Paula (Green) 13; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"10,866",LAKE,"2,196","Newberger, James",Challenger,"3,539","Klobuchar, Amy",Incumbent,LMN,115,"Schuller, Dennis",Challenger,66,"1,343",D,1.94,38.29,61.71,,,"Overby, Paula (Green) 65; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"4,045",LAKE OF THE WOODS,"1,072","Newberger, James",Challenger,729,"Klobuchar, Amy",Incumbent,LMN,42,"Schuller, Dennis",Challenger,9,343,R,2.27,59.52,40.48,,,"Overby, Paula (Green) 8; Scattered Write-Ins (Write-in) 1"
Senate,Minnesota,20181106,"27,703",LE SUEUR,"5,979","Newberger, James",Challenger,"6,444","Klobuchar, Amy",Incumbent,LMN,360,"Schuller, Dennis",Challenger,97,465,D,2.80,48.13,51.87,,,"Overby, Paula (Green) 92; Scattered Write-Ins (Write-in) 5"
Senate,Minnesota,20181106,"5,896",LINCOLN,"1,213","Newberger, James",Challenger,"1,164","Klobuchar, Amy",Incumbent,LMN,41,"Schuller, Dennis",Challenger,10,49,R,1.69,51.03,48.97,,,"Overby, Paula (Green) 10; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"25,857",LYON,"4,700","Newberger, James",Challenger,"4,973","Klobuchar, Amy",Incumbent,LMN,231,"Schuller, Dennis",Challenger,82,273,D,2.31,48.59,51.41,,,"Overby, Paula (Green) 78; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"5,413",MAHNOMEN,708,"Newberger, James",Challenger,"1,098","Klobuchar, Amy",Incumbent,LMN,93,"Schuller, Dennis",Challenger,23,390,D,4.84,39.20,60.80,,,"Overby, Paula (Green) 23; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"9,439",MARSHALL,"2,120","Newberger, James",Challenger,"1,864","Klobuchar, Amy",Incumbent,LMN,92,"Schuller, Dennis",Challenger,34,256,R,2.24,53.21,46.79,,,"Overby, Paula (Green) 34; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"20,840",MARTIN,"4,664","Newberger, James",Challenger,"3,770","Klobuchar, Amy",Incumbent,LMN,248,"Schuller, Dennis",Challenger,57,894,R,2.84,55.30,44.70,,,"Overby, Paula (Green) 54; Scattered Write-Ins (Write-in) 3"
Senate,Minnesota,20181106,"36,651",MCLEOD,"7,684","Newberger, James",Challenger,"6,825","Klobuchar, Amy",Incumbent,LMN,356,"Schuller, Dennis",Challenger,100,859,R,2.38,52.96,47.04,,,"Overby, Paula (Green) 96; Scattered Write-Ins (Write-in) 4"
Senate,Minnesota,20181106,"23,300",MEEKER,"5,363","Newberger, James",Challenger,"4,677","Klobuchar, Amy",Incumbent,LMN,218,"Schuller, Dennis",Challenger,80,686,R,2.11,53.42,46.58,,,"Overby, Paula (Green) 78; Scattered Write-Ins (Write-in) 2"
Senate,Minnesota,20181106,"26,097",MILLE LACS,"5,492","Newberger, James",Challenger,"4,771","Klobuchar, Amy",Incumbent,LMN,373,"Schuller, Dennis",Challenger,94,721,R,3.48,53.51,46.49,,,"Overby, Paula (Green) 92; Scattered Write-Ins (Write-in) 2"
Senate,Minnesota,20181106,"33,198",MORRISON,"8,678","Newberger, James",Challenger,"5,246","Klobuchar, Amy",Incumbent,LMN,304,"Schuller, Dennis",Challenger,95,"3,432",R,2.12,62.32,37.68,,,"Overby, Paula (Green) 90; Scattered Write-Ins (Write-in) 5"
Senate,Minnesota,20181106,"39,163",MOWER,"5,705","Newberger, James",Challenger,"8,396","Klobuchar, Amy",Incumbent,LMN,453,"Schuller, Dennis",Challenger,139,"2,691",D,3.08,40.46,59.54,,,"Overby, Paula (Green) 137; Scattered Write-Ins (Write-in) 2"
Senate,Minnesota,20181106,"8,725",MURRAY,"2,070","Newberger, James",Challenger,"1,925","Klobuchar, Amy",Incumbent,LMN,114,"Schuller, Dennis",Challenger,22,145,R,2.76,51.81,48.19,,,"Overby, Paula (Green) 22; Scattered Write-Ins (Write-in) 0"
Senate,Minnesota,20181106,"32,727",NICOLLET,"5,517","Newberger, James",Challenger,"9,632","Klobuchar, Amy",Incumbent,LMN,434,"Schuller, Dennis",Challenger,146,"4,115",D,2.76,36.42,63.58,,,"Overby, Paula (Green) 141; Scattered Write-Ins (Write-in) 5"
